0,-1.6481,5.4754,6.7829
0.033203,-1.3757,5.4073,7.3958
0.070007,-1.4165,5.3256,7.5457
0.10998,-1.7298,5.7478,6.9736
0.14008,-1.6889,6.17,7.3141
0.17001,-1.6072,6.279,7.6955
0.20001,-1.4982,6.2109,7.6274
0.23035,-1.3757,6.3607,7.7772
0.26068,-1.3076,6.5514,7.6683
0.2901,-1.3757,6.5105,7.246
0.32004,-1.4165,6.5922,7.2733
0.35001,-1.2667,6.5922,7.7772
0.38004,-0.88532,6.279,8.7715
0.41003,-0.88532,6.3198,8.54
0.44,-0.8036,6.6331,8.6625
0.47147,-0.42223,6.279,9.5751
0.50009,0.081722,5.7886,9.616
0.53006,0.65378,5.598,9.3844
0.56009,0.88532,5.2438,8.0769
0.59,0.46309,4.9442,7.1643
0.61999,-0.040861,4.3994,7.1234
0.65012,-0.19068,4.3721,7.0826
0.68005,-0.19068,4.9442,7.2733
0.71002,-0.081722,5.598,8.3493
0.74002,-0.14982,5.9385,8.3493
0.77023,-0.34051,6.0202,7.927
0.79999,-0.27241,5.2847,8.1586
0.82996,-0.53119,5.1757,7.7364
0.85998,-0.65378,5.5571,7.0826
0.89014,-0.53119,5.8976,6.8919
0.91998,-0.23155,5.7478,7.2733
0.95001,0.10896,5.9385,7.464
0.97992,0.42223,6.4424,7.355
1.01,0.50395,6.4424,7.7364
1.0399,-0.040861,6.0202,7.8589
1.07,-0.27241,5.5162,7.5048
1.1003,-0.19068,5.598,7.355
1.1301,-0.19068,6.0883,7.5865
1.16,-0.42223,6.7829,7.2052
1.19,-0.69464,7.0553,6.9736
1.22,-0.88532,6.7012,7.5457
1.2501,-0.99429,6.6604,7.927
1.28,-0.99429,6.9736,8.2403
1.31,-0.95342,7.2733,8.2812
1.34,-1.0351,7.0145,8.54
1.37,-1.076,5.9385,8.8532
1.4,-1.0351,5.0531,9.0439
1.4301,-0.99429,4.6309,9.3844
1.46,-1.1441,4.4402,8.8532
1.4901,-1.4165,4.8625,7.927
1.5203,-1.5255,4.985,8.0769
